onset	duration	trial_type	value	sample
336.536	0.0	ROWE	10	336536
336.596	0.0	ROWS	11	336596
340.702	0.0	ROWE	10	340702
340.765	0.0	ROWS	11	340765
345.019	0.0	ROWE	10	345019
345.083	0.0	ROWS	11	345083
348.969	0.0	ROWE	10	348969
349.034	0.0	ROWS	11	349034
353.302	0.0	ROWE	10	353302
353.369	0.0	ROWS	11	353369
357.702	0.0	ROWE	10	357702
357.77	0.0	ROWS	11	357770
361.169	0.0	ROWE	10	361169
361.24	0.0	ROWS	11	361240
365.501	0.0	ROWE	10	365501
365.562	0.0	ROWS	11	365562
369.751	0.0	ROWE	10	369751
369.814	0.0	ROWS	11	369814
372.251	0.0	ROWE	10	372251
372.318	0.0	ROWS	11	372318
376.551	0.0	ROWE	10	376551
376.61	0.0	ROWS	11	376610
380.785	0.0	ROWE	10	380785
380.842	0.0	ROWS	11	380842
382.451	0.0	ROWE	10	382451
382.506	0.0	ROWS	11	382506
386.617	0.0	ROWE	10	386617
386.663	0.0	ROWS	11	386663
390.617	0.0	ROWE	10	390617
390.641	0.0	ROWS	11	390641
391.0	0.0	ROWE	10	391000
391.005	0.0	CH02	4	391005
395.651	0.0	ROWS	11	395651
396.017	0.0	ROWE	10	396017
396.064	0.0	ROWS	11	396064
400.017	0.0	ROWE	10	400017
400.069	0.0	ROWS	11	400069
404.151	0.0	ROWE	10	404151
404.204	0.0	ROWS	11	404204
405.467	0.0	ROWE	10	405467
405.519	0.0	ROWS	11	405519
409.484	0.0	ROWE	10	409484
